Measured,,MCNP,,
1.929611405,0.048292751,2.91545026,1.562850346,0.2
0.828229152,0.10311804,0.878517221,0.437793763,0.4
0.567878053,0.140835409,0.610200634,0.311654816,0.6
0.458881726,0.112320627,0.440018612,0.227967292,0.8
0.289747214,0.067629391,0.165546481,0.165546481,1
0.17675954,0.092264995,0.240084651,0.126843496,1.2
0.099016896,0.097936754,0.188099402,0.099377204,1.4
0.145502844,0.098368664,0.146212641,0.079625986,1.6
0.110085598,0.08134374,0.115904111,0.060110641,1.8
0.149774308,0.094774244,0.091707421,0.048389489,2
0.037750383,0.087071851,0.074418748,0.040039917,2.2
0.036296658,0.101545709,0.057391411,0.030676286,2.4
